date,file_name,implementation,algorithm,time_in_milliseconds,emissions,emissions_rate,energy_consumed,cpu_energy,cpu_emissions,cpu_percentage
2025-06-09 14:28:38,one_million_ints.csv,Python,Heap Sort,5221.8585014343261719,6.921294331123853e-05,1.3111828910982351e-05,0.0001816851117239494,6.420719053237822e-05,2.4459729233309484e-05,35.34
2025-06-09 14:28:52,one_million_ints.csv,Python,Heap Sort,5072.5963115692138672,6.006531440916896e-05,1.1695590348379845e-05,0.00015767243577679212,6.007407889255939e-05,2.28852203541205e-05,38.10
2025-06-09 14:29:06,one_million_ints.csv,Python,Heap Sort,5140.1901245117187500,4.766921751109357e-05,9.177482735960177e-06,0.0001251324780446084,6.0312307138696286e-05,2.2975973404486348e-05,48.20
2025-06-09 14:29:22,one_million_ints.csv,Python,Heap Sort,5096.2250232696533203,6.007024540702684e-05,1.1653080299184125e-05,0.00015768537972706874,6.0102344192947826e-05,2.2895988020303474e-05,38.12
2025-06-09 14:36:37,one_million_ints.csv,C++,Heap Sort,138.8659477233886719,1.156815446982094e-06,7.586544952811831e-06,3.0366595274500433e-06,1.756273627240984e-06,6.690524382974529e-07,57.84
2025-06-09 14:36:45,one_million_ints.csv,C++,Heap Sort,138.2822990417480469,1.6710656507162761e-06,1.0982027056050101e-05,4.386574749222407e-06,1.7214088771262681e-06,6.55770711741252e-07,39.24
2025-06-09 14:36:55,one_million_ints.csv,C++,Heap Sort,127.4838447570800781,1.0982337669358012e-06,7.789572308680022e-06,2.8828816562168293e-06,1.6335949179855508e-06,6.223179840065955e-07,56.67
2025-06-09 14:37:04,one_million_ints.csv,C++,Heap Sort,134.4902515411376953,1.176144681224066e-06,7.918459975355862e-06,3.087399084457451e-06,1.672663838129737e-06,6.372012891355234e-07,54.18
2025-06-09 14:37:12,one_million_ints.csv,C++,Heap Sort,133.0640316009521484,1.2047621668418994e-06,8.234471688525137e-06,3.1625204537128216e-06,1.6833696800284959e-06,6.412796796068554e-07,53.23
2025-06-09 14:30:12,one_million_ints.csv,Python,Merge Sort,3277.9827117919921875,3.4874723249835705e-05,1.0480605450493998e-05,9.154672069782308e-05,3.892203224871264e-05,1.4827348185147081e-05,42.52
2025-06-09 14:30:24,one_million_ints.csv,Python,Merge Sort,3289.9789810180664062,3.502477618930497e-05,1.0489345942267568e-05,9.194061212575132e-05,3.8902221955086635e-05,1.4819801453790257e-05,42.31
2025-06-09 14:30:39,one_million_ints.csv,Python,Merge Sort,3313.9083385467529297,3.464097211352754e-05,1.0302193173170203e-05,9.09331201300106e-05,3.910049128036733e-05,1.4895332153255935e-05,43.00
2025-06-09 14:30:57,one_million_ints.csv,Python,Merge Sort,3322.5414752960205078,3.472976678309419e-05,1.0281184603014043e-05,9.116620759441972e-05,3.9256822516544124e-05,1.4954886537677484e-05,43.06
2025-06-09 14:32:19,one_million_ints.csv,Python,Merge Sort,3309.3702793121337891,3.490713031727943e-05,1.0405280491890253e-05,9.163178978154464e-05,3.8850310802446275e-05,1.4800025900191907e-05,42.40
2025-06-09 14:38:07,one_million_ints.csv,C++,Merge Sort,115.1218414306640625,1.009811137659025e-06,7.869360530406606e-06,2.6507708036724634e-06,1.4315236452171198e-06,5.453389326454618e-07,54.00
2025-06-09 14:38:16,one_million_ints.csv,C++,Merge Sort,105.6220531463623047,1.4538384662952443e-06,1.1726491400809464e-05,3.81634982621143e-06,1.3313802317664603e-06,5.07189299291433e-07,34.89
2025-06-09 14:38:24,one_million_ints.csv,C++,Merge Sort,113.5368347167968750,1.0319690921328498e-06,8.050378186665668e-06,2.7089357976974666e-06,1.421292525918133e-06,5.414413877485128e-07,52.47
2025-06-09 14:38:32,one_million_ints.csv,C++,Merge Sort,112.2920513153076172,9.507491656312588e-07,7.555432491681295e-06,2.4957321581080425e-06,1.387063609650796e-06,5.284018820964707e-07,55.58
2025-06-09 14:38:41,one_million_ints.csv,C++,Merge Sort,110.5811595916748047,1.1880409297926096e-06,9.527581826584266e-06,3.118626932123926e-06,1.7162680396795582e-06,6.538123097159277e-07,55.03
2025-06-09 14:39:20,one_million_floats.csv,Python,Quick Sort,2056.6658973693847656,2.0875102523384126e-05,9.99473081499027e-06,5.479748660817463e-05,2.424916051042489e-05,9.237717696446362e-06,44.25
2025-06-09 14:39:31,one_million_floats.csv,Python,Quick Sort,2058.5286617279052734,2.075911119366963e-05,9.916640022875421e-06,5.4493007464679436e-05,2.4140612368030168e-05,9.196366281601093e-06,44.30
2025-06-09 14:39:42,one_million_floats.csv,Python,Quick Sort,2062.3192787170410156,2.1032289535899174e-05,1.0025827469713312e-05,5.5210105094892175e-05,2.4503223213671876e-05,9.3345028832483e-06,44.38
2025-06-09 14:39:54,one_million_floats.csv,Python,Quick Sort,2112.8489971160888672,2.104459873093343e-05,9.794473394271257e-06,5.5242416933806094e-05,2.4821984302016153e-05,9.455934919853054e-06,44.93
2025-06-09 14:40:05,one_million_floats.csv,Python,Quick Sort,2287.1975898742675781,2.265670155632923e-05,9.761703084079651e-06,5.947421329919734e-05,2.6824437292863323e-05,1.0218769386716283e-05,45.10
2025-06-09 14:41:19,one_million_floats.csv,C++,Quick Sort,108.5562705993652344,9.328254126314145e-07,7.4732076032593314e-06,2.4486820124200406e-06,1.357479697094e-06,5.171318906079593e-07,55.44
2025-06-09 14:41:29,one_million_floats.csv,C++,Quick Sort,110.4972362518310547,1.2619869621671504e-06,1.0027901072981308e-05,3.3127364802917718e-06,1.410933906524002e-06,5.374952716903186e-07,42.59
2025-06-09 14:41:41,one_million_floats.csv,C++,Quick Sort,111.7918491363525391,1.0333143412883924e-06,8.288765157794066e-06,2.7124670988013975e-06,1.4125316855800093e-06,5.381039456217045e-07,52.08
2025-06-09 14:41:51,one_million_floats.csv,C++,Quick Sort,109.1418266296386719,1.4485214025464888e-06,1.1817122196052092e-05,3.8023924466373247e-06,1.3531527491880799e-06,5.15483539803199e-07,35.59
2025-06-09 14:42:29,one_million_floats.csv,C++,Quick Sort,107.5062751770019531,1.1200932841888698e-06,9.28620802963716e-06,2.940263247641081e-06,1.3384582929880113e-06,5.09885686713783e-07,45.52
2025-06-09 14:54:04,one_million_floats.csv,Python,Heap Sort,5110.6641292572021484,5.9771376951114454e-05,1.1536364254707952e-05,0.00015690084512695748,6.011858976149968e-05,2.2902176769643304e-05,38.32
2025-06-09 14:54:18,one_million_floats.csv,Python,Heap Sort,5085.1342678070068359,5.9689360559409244e-05,1.159065890295311e-05,0.00015668555075314147,5.9746095019058004e-05,2.2760274897510146e-05,38.13
2025-06-09 14:54:32,one_million_floats.csv,Python,Heap Sort,5079.9727439880371094,5.8928770886773655e-05,1.144767583722976e-05,0.00015468899038397074,5.905118168535173e-05,2.2495547663034745e-05,38.17
2025-06-09 14:54:46,one_million_floats.csv,Python,Heap Sort,5185.6842041015625000,6.0312230682252706e-05,1.1484052625266238e-05,0.00015832059504463237,6.0740383592267425e-05,2.3139049129474275e-05,38.37
2025-06-09 14:55:00,one_million_floats.csv,Python,Heap Sort,5160.8920097351074219,5.953040618499903e-05,1.1390124388894626e-05,0.00015626829291245315,5.9969637697894485e-05,2.28454334810129e-05,38.38
2025-06-09 14:55:18,one_million_floats.csv,C++,Heap Sort,154.7503471374511719,1.7357458016738702e-06,1.0271935232397882e-05,4.556361206651451e-06,1.9360932155404464e-06,7.37554710460133e-07,42.49
2025-06-09 14:55:26,one_million_floats.csv,C++,Heap Sort,153.7358760833740234,1.7070618709561535e-06,1.0183722495759357e-05,4.481065417918765e-06,1.911134028906303e-06,7.28046508311856e-07,42.65
2025-06-09 14:55:35,one_million_floats.csv,C++,Heap Sort,147.9630470275878906,1.5676270270951147e-06,9.624992345638852e-06,4.115046665166333e-06,1.8652073254972479e-06,7.105507306481766e-07,45.33
2025-06-09 14:55:44,one_million_floats.csv,C++,Heap Sort,156.7301750183105469,1.6866575776401397e-06,9.914130826343755e-06,4.427503813204199e-06,1.9371826608556575e-06,7.379697346529626e-07,43.75
2025-06-09 14:55:53,one_million_floats.csv,C++,Heap Sort,151.3779163360595703,1.5853440295515246e-06,9.60258945886558e-06,4.1615540872857975e-06,1.9141006979469383e-06,7.291766608828862e-07,45.99
2025-06-09 14:56:54,one_million_floats.csv,Python,Merge Sort,3536.6709232330322266,4.413559714521406e-05,1.2344016452965615e-05,0.00011585666661035322,4.244287339871464e-05,1.616861262124034e-05,36.63
2025-06-09 14:57:06,one_million_floats.csv,Python,Merge Sort,3390.4817104339599609,3.532085842586174e-05,1.0272348835067734e-05,9.27178328543424e-05,3.9980565039983776e-05,1.5230596251981821e-05,43.12
2025-06-09 14:57:19,one_million_floats.csv,Python,Merge Sort,3395.7533836364746094,3.5739158507116826e-05,1.0375208924581865e-05,9.38158774304156e-05,4.017529991799142e-05,1.530478050375883e-05,42.82
2025-06-09 14:57:31,one_million_floats.csv,Python,Merge Sort,3379.9448013305664062,3.559770981377103e-05,1.0389445847610187e-05,9.344457228972576e-05,3.98878769102759e-05,1.5195286708969606e-05,42.69
2025-06-09 14:57:43,one_million_floats.csv,Python,Merge Sort,3350.2247333526611328,3.523937949398273e-05,1.0357203332697841e-05,9.250394932138793e-05,3.985637771840994e-05,1.5183287091828268e-05,43.09
2025-06-09 14:57:55,one_million_floats.csv,C++,Merge Sort,133.2170963287353516,1.5361978324448926e-06,1.0484945969053691e-05,4.032544513571053e-06,1.6491877082389778e-06,6.282580574536386e-07,40.90
