date,file_name,implementation,algorithm,time_in_milliseconds,emissions,emissions_rate,energy_consumed,cpu_energy,cpu_emissions,cpu_percentage
2025-06-09 15:38:04,ten_million_ints.csv,Python,Merge Sort,49072.9069709777832031,0.00043524746265905217,8.854592625981673e-06,0.0011425317303033263,0.0005896676922893321,0.00022463390737762108,51.61
2025-06-09 15:39:27,ten_million_ints.csv,Python,Merge Sort,49913.9366149902343750,0.0004416829795270281,8.832045436731415e-06,0.0011594250676651217,0.0005985482535604419,0.00022801695719385033,51.62
2025-06-09 15:40:48,ten_million_ints.csv,Python,Merge Sort,49097.5668430328369141,0.00044206393974408076,8.988940022380468e-06,0.0011604250944850525,0.0005893676603826396,0.00022451961022276653,50.79
2025-06-09 15:41:59,ten_million_ints.csv,C++,Merge Sort,1291.1841869354248047,1.2274047807705778e-05,9.373947519659127e-06,3.221957686758309e-05,1.7245622685375418e-05,6.569719961993765e-06,53.53
2025-06-09 15:42:31,ten_million_ints.csv,C++,Merge Sort,1264.4548416137695312,1.2398920458183178e-05,9.58087211804659e-06,3.254736962379099e-05,1.5354718117097446e-05,5.849379866708272e-06,47.18
2025-06-09 15:43:04,ten_million_ints.csv,C++,Merge Sort,1259.4056129455566406,1.2334896337511867e-05,9.592313951578904e-06,3.2379305256626504e-05,1.5283026948633913e-05,5.822069116082089e-06,47.20
2025-06-09 15:43:36,ten_million_ints.csv,C++,Merge Sort,1269.5846557617187500,1.231829033125827e-05,9.52248413327796e-06,3.233571421776682e-05,1.5223927456909855e-05,5.799555164709809e-06,47.08
2025-06-09 15:44:09,ten_million_ints.csv,C++,Merge Sort,1268.7656879425048828,1.23880357599047e-05,9.512989250447392e-06,3.251879711223179e-05,1.531948920002659e-05,5.83595941075013e-06,47.11
2025-06-09 15:52:00,ten_million_floats.csv,Python,Quick Sort,31719.9025154113769531,0.00029386886575986595,9.237569466095624e-06,0.0007714105939358602,0.0003839516485499607,0.00014626638051510755,49.77
2025-06-09 15:53:16,ten_million_floats.csv,Python,Quick Sort,32553.7471771240234375,0.00030274665195022477,9.276444445969931e-06,0.0007947149283376421,0.0003916395419224939,0.00014919508349537405,49.28
2025-06-09 15:54:28,ten_million_floats.csv,Python,Quick Sort,30963.3150100708007812,0.00029433961181658737,9.48027352800329e-06,0.0007726463100579797,0.00037082867721825903,0.00014126718458629575,47.99
2025-06-09 15:55:44,ten_million_floats.csv,Python,Quick Sort,33062.9303455352783203,0.00031647559533935906,9.548953186578965e-06,0.0008307536299760049,0.0004076920008755612,0.00015531026773354503,49.07
2025-06-09 15:57:01,ten_million_floats.csv,Python,Quick Sort,33577.6782035827636719,0.00032482398342635756,9.640942407475993e-06,0.0008526682856709741,0.0004110737783032028,0.0001565985558446051,48.21
2025-06-09 15:58:04,ten_million_floats.csv,C++,Quick Sort,1198.7683773040771484,1.1716324466463848e-05,9.55061749449192e-06,3.075554394661727e-05,1.46781439647279e-05,5.591638943363094e-06,47.73
2025-06-09 15:58:43,ten_million_floats.csv,C++,Quick Sort,1188.3094310760498047,1.1519905416631358e-05,9.471649847012014e-06,3.0239940718286803e-05,1.4296146992463787e-05,5.44611719677908e-06,47.28
2025-06-09 15:59:23,ten_million_floats.csv,C++,Quick Sort,1190.9239292144775391,1.1477639570969543e-05,9.439487049304578e-06,3.0128992179996176e-05,1.4196376634870167e-05,5.408109679053791e-06,47.12
2025-06-09 16:00:01,ten_million_floats.csv,C++,Quick Sort,1207.5774669647216797,1.1965924516690097e-05,9.699283000557867e-06,3.1410748173487586e-05,1.459598389899966e-05,5.560340066323921e-06,46.47
